dias;antelacion;checkin;checkout;reserva;pension;categoria_habitacion;num_adults;num_childs;precio_habitacion;agency_commission;discount_amount;status;segmento;is_from_channel;operador;Edad Actual;gender;state;province;postal_code;evento
9;110;27/12/2024;05/01/2025;08/09/2024 16:04;1;90;2;0;1620.00;15;0;3;NULL;1;SITEMINDER;NULL;0;GB;;SW19 3EJ;NULL
9;110;27/12/2024;05/01/2025;08/09/2024 15:40;1;90;1;0;1575.00;15;0;3;NULL;1;SITEMINDER;NULL;0;IE;;X91T920;NULL
14;76;23/11/2024;07/12/2024;08/09/2024 14:08;1;90;2;0;1280.00;15;0;3;NULL;1;SITEMINDER;NULL;0;NULL;NULL;1510;NULL
3;0;08/09/2024;11/09/2024;08/09/2024 13:12;1;90;2;0;177.00;15;0;3;NULL;1;SITEMINDER;NULL;0;205;NULL;35220;NULL
2;0;08/09/2024;10/09/2024;08/09/2024 11:16;1;90;2;0;120.00;15;0;3;NULL;1;SITEMINDER;NULL;0;205;NULL;NULL;NULL
2;0;08/09/2024;10/09/2024;08/09/2024 9:16;1;90;2;0;90.00;0;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
7;109;26/12/2024;02/01/2025;08/09/2024 7:20;1;90;2;0;1300.00;15;0;2;NULL;1;SITEMINDER;NULL;0;DE;;;NULL
3;51;29/10/2024;01/11/2024;08/09/2024 4:08;1;90;2;0;174.00;15;0;3;NULL;1;SITEMINDER;NULL;0;BE;;;NULL
7;44;21/10/2024;28/10/2024;07/09/2024 18:56;1;90;1;0;471.00;15;0;2;NULL;1;SITEMINDER;NULL;0;LT;;12102;NULL
4;6;13/09/2024;17/09/2024;07/09/2024 18:06;1;90;1;0;218.00;15;0;3;NULL;1;SITEMINDER;NULL;0;GB;;;NULL
12;49;26/10/2024;07/11/2024;07/09/2024 13:28;1;90;1;0;873.00;15;0;3;NULL;1;SITEMINDER;NULL;0;DE;;40211;NULL
13;59;04/11/2024;17/11/2024;06/09/2024 22:30;1;90;2;0;2130.00;15;0;3;NULL;1;SITEMINDER;NULL;0;NO;;;NULL
14;162;15/02/2025;01/03/2025;06/09/2024 19:42;1;90;2;0;1330.00;15;0;2;NULL;1;SITEMINDER;NULL;0;FR;;;NULL
1;0;06/09/2024;07/09/2024;06/09/2024 14:18;1;90;2;0;85.00;15;0;3;NULL;1;SITEMINDER;NULL;0;75;NULL;93200;NULL
14;104;19/12/2024;02/01/2025;06/09/2024 13:26;1;90;2;0;1950.00;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
1;0;05/09/2024;06/09/2024;05/09/2024 18:55;1;90;2;0;57.00;0;0;2;NULL;0;NULL;NULL;1;NULL;NULL;NULL;NULL
3;29;04/10/2024;07/10/2024;05/09/2024 14:48;1;90;2;0;220.00;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
7;37;12/10/2024;19/10/2024;05/09/2024 14:12;1;90;2;0;406.00;0;0;3;NULL;0;NULL;NULL;0;NULL;NULL;NULL;NULL
7;32;07/10/2024;14/10/2024;05/09/2024 13:18;1;90;2;0;414.00;15;0;2;NULL;1;SITEMINDER;NULL;0;BE;;7181;NULL
7;32;07/10/2024;14/10/2024;05/09/2024 13:02;1;90;2;0;414.00;15;0;2;NULL;1;SITEMINDER;NULL;0;BE;;7181;NULL
6;12;17/09/2024;23/09/2024;05/09/2024 1:02;1;90;1;0;252.75;0;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
12;115;28/12/2024;09/01/2025;04/09/2024 23:24;1;90;2;0;1940.00;15;0;3;NULL;1;SITEMINDER;NULL;0;AT;;1210;NULL
7;109;22/12/2024;29/12/2024;04/09/2024 20:20;1;90;2;0;890.00;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
7;33;07/10/2024;14/10/2024;04/09/2024 17:44;1;90;2;0;414.00;15;0;2;NULL;1;SITEMINDER;NULL;0;BE;;7181;NULL
17;30;04/10/2024;21/10/2024;04/09/2024 15:10;1;90;1;0;901.00;15;0;3;NULL;1;SITEMINDER;NULL;0;CH;;6010;NULL
2;0;04/09/2024;06/09/2024;04/09/2024 13:44;1;90;1;1;114.00;15;0;3;NULL;1;SITEMINDER;NULL;0;ES;;35200;NULL
4;46;20/10/2024;24/10/2024;04/09/2024 12:56;1;90;2;0;224.40;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
16;69;12/11/2024;28/11/2024;04/09/2024 12:44;1;90;1;0;1620.00;15;0;3;NULL;1;SITEMINDER;NULL;0;FI;;930;NULL
17;30;04/10/2024;21/10/2024;04/09/2024 0:12;1;90;1;0;901.00;15;0;2;NULL;1;SITEMINDER;NULL;0;CH;;6010;NULL
7;24;27/09/2024;04/10/2024;03/09/2024 22:21;1;90;2;0;441.00;0;0;3;NULL;0;NULL;NULL;0;NULL;NULL;NULL;NULL
4;25;28/09/2024;02/10/2024;03/09/2024 20:14;1;90;2;0;252.00;15;0;3;NULL;1;SITEMINDER;NULL;0;ES;;;NULL
14;64;06/11/2024;20/11/2024;03/09/2024 16:22;1;90;2;0;2170.00;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
6;108;20/12/2024;26/12/2024;03/09/2024 14:08;1;90;2;0;501.50;15;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
3;24;27/09/2024;30/09/2024;03/09/2024 14:06;1;90;2;0;156.00;15;0;2;NULL;1;SITEMINDER;NULL;0;;;;NULL
7;4;07/09/2024;14/09/2024;03/09/2024 13:18;1;90;1;0;388.45;15;0;3;NULL;1;SITEMINDER;NULL;0;230;NULL;NULL;NULL
2;0;03/09/2024;05/09/2024;03/09/2024 12:12;1;90;2;0;115.00;0;0;3;NULL;0;NULL;NULL;0;205;NULL;35118;NULL
1;0;03/09/2024;04/09/2024;03/09/2024 11:17;1;90;1;0;52.00;0;0;3;NULL;0;NULL;NULL;0;205;NULL;NULL;NULL
3;2;05/09/2024;08/09/2024;03/09/2024 10:42;1;90;2;0;207.00;15;0;3;NULL;1;SITEMINDER;NULL;0;205;NULL;NULL;NULL
14;94;05/12/2024;19/12/2024;02/09/2024 23:08;1;90;1;0;950.00;15;0;3;NULL;1;SITEMINDER;NULL;0;SE;;74530;NULL
7;62;03/11/2024;10/11/2024;02/09/2024 22:36;1;90;3;0;1310.00;15;0;3;NULL;1;SITEMINDER;NULL;0;FR;;;NULL
5;47;19/10/2024;24/10/2024;02/09/2024 17:50;1;90;1;0;309.00;15;0;3;NULL;1;SITEMINDER;NULL;0;GB;;RG2 8SG;NULL
