dias;antelacion;checkin;checkout;reserva;pension;categoria_habitacion;num_adults;num_childs;precio_habitacion;agency_commission;discount_amount;status;segmento;is_from_channel;operador;Edad Actual;gender;state;province;postal_code;evento
3;27;03/10/2024;06/10/2024;06/09/2024 15:45;1;94;2;0;660.45;0;0;3;NULL;1;PARITYRATE;NULL;0;101;;;NULL
3;51;26/10/2024;29/10/2024;05/09/2024 18:10;1;94;2;0;532.96;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;0;05/09/2024;07/09/2024;05/09/2024 13:00;1;94;2;0;285.12;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;23;28/09/2024;29/09/2024;05/09/2024 10:25;1;94;2;0;259.00;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;7;11/09/2024;15/09/2024;04/09/2024 22:45;1;94;2;0;806.08;0;0;3;NULL;1;PARITYRATE;NULL;0;177;;;NULL
2;4;08/09/2024;10/09/2024;04/09/2024 22:20;1;94;2;0;378.00;0;0;3;NULL;1;PARITYRATE;NULL;0;177;;;NULL
4;7;11/09/2024;15/09/2024;04/09/2024 20:30;1;94;2;0;806.08;0;0;3;NULL;1;PARITYRATE;NULL;0;177;;;NULL
2;4;08/09/2024;10/09/2024;04/09/2024 20:15;1;94;2;0;332.64;0;0;3;NULL;1;PARITYRATE;NULL;0;177;;;NULL
2;1;05/09/2024;07/09/2024;04/09/2024 11:10;1;94;2;0;285.12;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;28;02/10/2024;05/10/2024;04/09/2024 6:15;1;94;2;0;542.30;0;0;3;NULL;1;PARITYRATE;NULL;0;30;;;NULL
3;29;02/10/2024;05/10/2024;03/09/2024 22:47;1;94;2;0;542.30;0;0;3;NULL;1;PARITYRATE;NULL;0;230;;;NULL
3;20;23/09/2024;26/09/2024;03/09/2024 19:05;1;94;4;0;1065.89;0;0;2;NULL;1;PARITYRATE;NULL;0;231;;;NULL
3;20;23/09/2024;26/09/2024;03/09/2024 19:05;1;94;4;0;1065.89;0;0;2;NULL;1;PARITYRATE;NULL;0;231;;;NULL
3;58;31/10/2024;03/11/2024;03/09/2024 17:05;1;94;2;0;447.95;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;58;31/10/2024;03/11/2024;03/09/2024 15:15;1;94;2;0;447.95;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;25;28/09/2024;30/09/2024;03/09/2024 14:00;1;94;2;0;406.60;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;58;31/10/2024;03/11/2024;03/09/2024 13:30;1;94;2;0;447.95;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;9;12/09/2024;13/09/2024;03/09/2024 13:25;1;94;2;0;177.11;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;30;03/10/2024;06/10/2024;03/09/2024 12:55;1;94;2;0;534.65;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
