dias;antelacion;checkin;checkout;reserva;pension;categoria_habitacion;num_adults;num_childs;precio_habitacion;agency_commission;discount_amount;status;segmento;is_from_channel;operador;Edad Actual;gender;state;province;postal_code;evento
3;53;31/10/2024;03/11/2024;08/09/2024 19:56;1;90;2;1;729.00;17;0;3;NULL;1;SITEMINDER;NULL;0;IT;;;NULL
3;9;17/09/2024;20/09/2024;08/09/2024 19:32;1;90;4;0;594.42;17;0;3;NULL;1;SITEMINDER;NULL;0;ES;;;NULL
8;6;14/09/2024;22/09/2024;08/09/2024 17:04;1;92;3;0;2408.25;17;0;3;NULL;1;SITEMINDER;NULL;0;NL;;;NULL
1;0;08/09/2024;09/09/2024;08/09/2024 12:48;1;92;3;0;185.40;0;0;3;NULL;0;NULL;NULL;0;228;NULL;NULL;REVISAR FECHAS COPA DAVIS
1;0;08/09/2024;09/09/2024;08/09/2024 12:42;1;91;5;0;220.50;17;0;2;NULL;1;SITEMINDER;NULL;0;UA;;;REVISAR FECHAS COPA DAVIS
4;16;24/09/2024;28/09/2024;08/09/2024 12:24;1;90;2;1;647.21;17;0;3;NULL;1;SITEMINDER;NULL;0;;;;NULL
2;44;22/10/2024;24/10/2024;08/09/2024 12:08;1;92;2;0;466.20;17;0;3;NULL;1;SITEMINDER;NULL;0;IT;;;FIAN MOTORSPORT GAMES
2;44;22/10/2024;24/10/2024;08/09/2024 12:08;1;92;2;0;466.20;17;0;3;NULL;1;SITEMINDER;NULL;0;IT;;;FIA MOTORSPORT GAME
2;44;22/10/2024;24/10/2024;08/09/2024 12:08;1;92;2;0;466.20;17;0;3;NULL;1;SITEMINDER;NULL;0;IT;;;FIA MOTORSPORT GAME
4;10;18/09/2024;22/09/2024;08/09/2024 11:32;1;90;1;0;700.74;17;0;3;NULL;1;SITEMINDER;NULL;0;AU;;;NULL
6;22;29/09/2024;05/10/2024;07/09/2024 21:28;1;92;2;0;1895.00;17;0;3;NULL;1;SITEMINDER;NULL;0;SK;;;FERIA HABITAT
6;22;29/09/2024;05/10/2024;07/09/2024 21:28;1;92;2;0;1895.00;17;0;3;NULL;1;SITEMINDER;NULL;0;SK;;;FERIA HABITAT
6;22;29/09/2024;05/10/2024;07/09/2024 21:28;1;92;2;0;1895.00;17;0;3;NULL;1;SITEMINDER;NULL;0;SK;;;IBERFLORA
