FECHA;T. Máxima;T.Mínima;;;;;;
01/01/2021;10.0;7.2;;;;;;
02/01/2021;10.6;4.6;;;;;;
03/01/2021;10.4;4.7;;;;;;
04/01/2021;11.8;3.9;;;;;;
05/01/2021;10.2;4.0;;;;;;
06/01/2021;10.3;3.7;;;;;;
07/01/2021;7.8;5.5;;;;;;
08/01/2021;8.1;3.7;;;;;;
09/01/2021;8.1;4.6;;;;;;
10/01/2021;8.4;6.3;;;;;;
11/01/2021;9.4;3.9;;;;;;
12/01/2021;10.7;3.6;;;;;;
13/01/2021;13.1;4.8;;;;;;
14/01/2021;13.1;6.2;;;;;;
15/01/2021;13.0;6.2;;;;;;
16/01/2021;15.0;6.0;;;;;;
17/01/2021;16.4;7.1;;;;;;
18/01/2021;12.6;7.8;;;;;;
19/01/2021;15.2;7.7;;;;;;
20/01/2021;13.6;10.3;;;;;;
21/01/2021;17.1;8.9;;;;;;
22/01/2021;15.4;10.2;;;;;;
23/01/2021;16.4;9.7;;;;;;
24/01/2021;16.5;11.1;;;;;;
25/01/2021;15.9;10.5;;;;;;
26/01/2021;13.5;9.4;;;;;;
27/01/2021;14.6;9.5;;;;;;
28/01/2021;17.4;10.3;;;;;;
29/01/2021;23.1;12.2;;;;;;
30/01/2021;19.9;11.8;;;;;;
31/01/2021;18.1;11.6;;;;;;
01/02/2021;21.2;13.2;;;;;;
02/02/2021;20.5;13.4;;;;;;
20/02/2021;15.0;8.6;;;;;;
21/02/2021;14.7;11.6;;;;;;
22/02/2021;14.7;12.3;;;;;;
23/02/2021;18.1;13.1;;;;;;
24/02/2021;16.5;12.3;;;;;;
25/02/2021;16.6;12.0;;;;;;
26/02/2021;16.2;11.0;;;;;;
27/02/2021;16.3;10.0;;;;;;
28/02/2021;16.1;10.9;;;;;;
01/03/2021;15.2;12.1;;;;;;
02/03/2021;15.4;12.6;;;;;;
03/03/2021;15.5;12.1;;;;;;
04/03/2021;16.1;11.5;;;;;;
05/03/2021;15.5;10.8;;;;;;
06/03/2021;14.7;11.0;;;;;;
07/03/2021;14.7;11.7;;;;;;
08/03/2021;13.7;10.9;;;;;;
09/03/2021;16.4;10.3;;;;;;
10/03/2021;15.6;9.0;;;;;;
11/03/2021;17.8;10.0;;;;;;
12/03/2021;15.7;11.1;;;;;;
13/03/2021;17.3;10.6;;;;;;
14/03/2021;16.6;10.6;;;;;;
15/03/2021;17.9;9.9;;;;;;
16/03/2021;16.1;10.5;;;;;;
17/03/2021;19.2;9.8;;;;;;
18/03/2021;15.7;7.3;;;;;;
19/03/2021;12.7;6.9;;;;;;
20/03/2021;14.1;8.1;;;;;;
21/03/2021;15.4;6.9;;;;;;
22/03/2021;18.2;9.6;;;;;;
23/03/2021;16.9;10.1;;;;;;
24/03/2021;17.7;9.5;;;;;;
25/03/2021;17.5;9.8;;;;;;
26/03/2021;17.6;12.3;;;;;;
27/03/2021;17.0;12.8;;;;;;
28/03/2021;17.5;11.1;;;;;;
29/03/2021;18.1;10.4;;;;;;
30/03/2021;16.4;11.6;;;;;;
31/03/2021;17.3;10.7;;;;;;
01/04/2021;19.0;10.1;;;;;;
02/04/2021;19.7;13.4;;;;;;
03/04/2021;22.5;13.4;;;;;;
04/04/2021;18.0;13.5;;;;;;
05/04/2021;19.4;12.1;;;;;;
06/04/2021;16.9;12.1;;;;;;
07/04/2021;14.1;9.4;;;;;;
08/04/2021;15.9;10.4;;;;;;
09/04/2021;15.1;10.2;;;;;;
10/04/2021;14.1;12.1;;;;;;
11/04/2021;16.8;11.9;;;;;;
12/04/2021;15.9;8.9;;;;;;
13/04/2021;16.0;10.5;;;;;;
14/04/2021;15.5;11.6;;;;;;
15/04/2021;16.3;11.3;;;;;;
16/04/2021;16.1;9.3;;;;;;
17/04/2021;14.9;8.6;;;;;;
18/04/2021;16.9;9.4;;;;;;
19/04/2021;17.1;10.7;;;;;;
20/04/2021;17.2;12.7;;;;;;
21/04/2021;15.6;12.0;;;;;;
22/04/2021;17.4;11.4;;;;;;
23/04/2021;18.8;10.8;;;;;;
24/04/2021;18.1;11.3;;;;;;
