FECHA;T. Máxima;T.Mínima
01/01/2021;6.5;1.6
02/01/2021;5.4;-0.9
03/01/2021;7.8;-1.8
04/01/2021;5.4;0.0
05/01/2021;4.7;-1.7
06/01/2021;5.0;-2.2
07/01/2021;1.4;-0.6
08/01/2021;0.3;-1.0
09/01/2021;0.5;-1.6
10/01/2021;3.2;-0.8
11/01/2021;3.2;-4.4
12/01/2021;0.7;-7.4
13/01/2021;3.7;-7.2
14/01/2021;5.1;-5.3
15/01/2021;5.4;-4.5
16/01/2021;7.8;-3.4
17/01/2021;6.8;-3.7
18/01/2021;8.7;-1.7
19/01/2021;7.4;-0.6
20/01/2021;6.5;0.9
21/01/2021;10.0;5.4
22/01/2021;10.2;4.9
23/01/2021;10.6;3.6
24/01/2021;12.2;7.5
25/01/2021;13.0;7.5
26/01/2021;14.9;9.7
27/01/2021;17.8;9.7
28/01/2021;11.6;9.3
29/01/2021;11.1;8.4
30/01/2021;12.6;8.2
31/01/2021;12.8;8.1
01/02/2021;16.1;7.9
02/02/2021;12.4;8.3
03/02/2021;11.8;8.4
04/02/2021;12.8;9.1
05/02/2021;16.0;8.8
06/02/2021;11.3;7.6
07/02/2021;10.8;5.2
08/02/2021;10.6;5.4
09/02/2021;9.1;5.4
10/02/2021;13.6;5.9
11/02/2021;12.3;7.5
12/02/2021;13.9;7.9
13/02/2021;15.7;5.4
14/02/2021;14.6;5.0
15/02/2021;14.8;7.1
16/02/2021;14.4;5.3
17/02/2021;15.8;5.4
18/02/2021;15.6;5.4
19/02/2021;17.5;5.4
20/02/2021;17.4;7.2
21/02/2021;11.9;5.3
22/02/2021;10.9;5.3
23/02/2021;13.0;4.7
24/02/2021;14.6;5.4
25/02/2021;12.9;7.0
26/02/2021;15.8;7.4
27/02/2021;18.2;7.5
28/02/2021;14.2;5.4
01/03/2021;9.7;7.4
02/03/2021;13.0;7.9
03/03/2021;13.5;9.0
04/03/2021;12.7;6.6
05/03/2021;14.0;7.0
06/03/2021;14.8;9.1
07/03/2021;14.2;8.3
08/03/2021;13.0;5.9
09/03/2021;12.9;5.3
10/03/2021;15.3;2.8
11/03/2021;17.8;5.4
12/03/2021;15.3;7.3
13/03/2021;15.4;4.3
14/03/2021;15.4;4.4
15/03/2021;18.1;4.7
16/03/2021;18.1;5.3
17/03/2021;18.8;8.0
18/03/2021;11.8;5.4
19/03/2021;11.9;3.5
20/03/2021;11.7;2.6
21/03/2021;15.5;0.6
22/03/2021;16.4;2.5
23/03/2021;18.3;4.5
24/03/2021;19.9;5.4
25/03/2021;19.8;7.1
26/03/2021;18.5;8.1
27/03/2021;17.5;7.7
28/03/2021;20.9;8.3
29/03/2021;22.5;9.8
30/03/2021;20.5;11.8
31/03/2021;23.4;10.3
01/04/2021;22.3;12.6
02/04/2021;16.6;10.7
03/04/2021;19.9;8.4
04/04/2021;19.2;7.9
05/04/2021;21.0;8.5
06/04/2021;23.0;8.1
07/04/2021;19.6;5.3
08/04/2021;17.0;9.1
09/04/2021;12.7;7.9
10/04/2021;17.4;9.4
11/04/2021;15.6;7.6
12/04/2021;15.8;4.3
13/04/2021;14.0;9.7
14/04/2021;18.2;10.3
15/04/2021;16.3;10.6
16/04/2021;16.9;6.7
17/04/2021;16.6;3.5
18/04/2021;18.2;3.9
19/04/2021;20.3;8.6
20/04/2021;18.4;10.6
21/04/2021;18.3;9.4
22/04/2021;15.8;9.5
23/04/2021;16.6;9.6
24/04/2021;15.9;9.4
25/04/2021;12.1;9.6
26/04/2021;18.3;10.3
27/04/2021;19.6;9.9
28/04/2021;18.1;9.8
29/04/2021;17.2;9.7
30/04/2021;16.3;7.7
01/05/2021;16.3;7.6
02/05/2021;17.7;8.5
03/05/2021;17.6;10.6
04/05/2021;21.3;8.4
05/05/2021;24.2;10.7
06/05/2021;;
07/05/2021;;
08/05/2021;28.5;13.3
09/05/2021;19.1;10.3
10/05/2021;17.2;7.5
11/05/2021;16.8;6.7
12/05/2021;19.0;10.2
13/05/2021;19.6;9.6
14/05/2021;22.6;10.6
15/05/2021;25.7;12.1
16/05/2021;25.9;14.1
17/05/2021;25.6;13.0
18/05/2021;27.1;13.9
19/05/2021;24.6;13.1
20/05/2021;26.8;13.0
21/05/2021;28.3;15.6
22/05/2021;21.9;14.0
23/05/2021;19.3;11.4
24/05/2021;20.8;9.9
25/05/2021;25.1;11.2
26/05/2021;26.2;14.3
27/05/2021;26.2;15.4
28/05/2021;26.2;15.3
29/05/2021;29.9;16.1
30/05/2021;30.6;17.7
31/05/2021;30.9;18.2
01/06/2021;24.4;16.0
02/06/2021;25.6;12.5
03/06/2021;28.4;16.9
04/06/2021;28.0;16.0
05/06/2021;21.3;15.4
06/06/2021;28.2;13.1
07/06/2021;30.6;16.9
08/06/2021;32.5;18.6
09/06/2021;33.1;18.0
10/06/2021;32.6;20.1
11/06/2021;32.8;18.7
12/06/2021;30.6;16.7
13/06/2021;32.7;19.8
14/06/2021;32.6;20.6
15/06/2021;32.7;19.9
